gold,subject_id
1,20937590
1,20937591
1,20937592
1,20937593
1,20937595
1,20937596
1,20937599
1,20937601
1,20937603
1,20937605
1,20937594
1,20937597
1,20937604
1,20937609
1,20937600
1,20937611
1,20937612
1,20937614
1,20937615
1,20937602
1,20964743
1,20964703
1,20964731
1,20964726
1,20964727
1,20964739
1,20964711
1,20964735
1,20964701
1,20964705
1,20964697
1,20964702
1,20964707
1,20964720
1,20964723
1,20964724
1,20964730
1,20964738
1,20964745
1,20964746
1,20964700
1,20964704
1,20964717
1,20964718
1,20964732
1,20964747
1,20964709
1,20964715
1,20964719
1,20964725
1,20964729
1,20964733
1,20865730
0,20865735
1,20865731
0,21100285
1,21088876
0,21099617
1,21102901
1,21091587
1,21089681
0,21093839
0,21093663
1,21093235
0,21093000
1,21087994
1,21087602
1,21093448
0,21099911
1,21090710
1,21089950
1,21107573
0,21015283
1,21088837
1,21107551
0,21097925
1,21102933
1,21038842
1,21107039
0,21098397
0,21099179
0,21102560
1,21105527
1,21089824
1,21108230
1,21106003
1,21090396
1,21093977
0,21093201
1,21109050
1,21088007
0,21098611
0,21099829
0,21097483
1,21106327
1,21091737
1,21091986
1,21006238
1,21104125
1,21094176
1,21102839
0,21090693
0,21100556
0,21101657
1,21093582
1,21103010
0,21092401
0,21097506
0,21093610
1,21090539
0,21097274
0,21099283
0,21100519
1,21094684
1,21087524
1,21094479
1,21103251
1,21103610
1,21090300
1,21107223
1,21091209
1,21090600
1,21087537
1,21103845
1,21089490
1,21095359
0,21098539
1,21093315
1,21103957
0,21097302
0,21009414
0,21044528
1,21095314
0,21095649
0,21098715
1,21106457
1,21105992
0,21092409
0,21096841
1,21092173
1,21088193
0,21097954
1,21102761
0,21028279
1,21107577
0,21101093
0,21093955
0,21099147
0,21102456
1,21103836
1,21088653
1,21088758
0,21101575
1,21108270
0,21096475
0,21097284
1,21087623
1,21106114
1,21087326
1,21093222
1,21106768
0,21099849
1,21090466
1,21107939
0,21098730
0,21095088
1,21104057
1,21105411
1,21107705
0,21097753
0,21034160
1,21102709
0,21096422
0,21093766
1,21102879
1,21105049
1,21102686
1,21108077
1,21108948
1,21104113
1,21107678
0,21092098
0,21099087
1,21094327
0,21094775
0,21099047
0,21093891
1,21105394
1,21094341
0,21094307
0,21091318
1,21105831
1,21090278
1,21094673
1,20962148
0,21097341
0,21102510
1,21105817
1,21090989
1,21103796
1,21106639
0,21100301
0,21097507
1,21102717
1,21103273
0,21096492
0,21098125
1,21103071
1,21106825
0,21095755
0,21096639
1,21088122
1,21105528
1,21107101
1,21090471
0,21097577
1,21093026
1,21106583
0,21093900
0,21098460
0,21099925
0,21099042
1,21088997
0,21101367
1,21094787
1,21108129
1,21095852
0,21098627
1,21107366
1,21091147
1,21095725
0,21096866
0,21097045
0,21093634
0,21093832
1,21103454
1,21095024
0,21094415
1,21087292
1,21091190
1,21106288
1,21090787
1,21093044
1,21091083
0,21090248
0,21102457
0,21102191
1,21105515
1,21107512
0,21099172
1,21087878
0,21094700
1,21107265
1,21088248
1,21088485
0,21097763
1,21106249
1,21088241
1,21089308
1,21105856
0,21095891
1,21087493
0,21101582
1,21093297
1,21107828
1,21094545
0,21091920
1,21104443
1,21093474
1,21104048
0,21098132
0,21102555
1,21095258
1,21088019
1,21088014
1,21106748
1,21090425
1,21088091
1,21091422
1,21087306
1,21104110
1,21095179
1,21108133
0,21096671
1,21107372
1,21092129
1,21091592
0,21090261
1,21105738
0,21099210
0,21099827
0,21099933
1,21088135
1,21090212
1,21094173
0,21090975
1,21107621
0,21098387
1,21093712
0,21098506
0,21094168
1,21089143
1,21090361
1,21087359
1,21091589
1,21095578
1,21107663
1,21095769
0,21094221
1,21088495
1,21093886
0,21098006
0,21101176
0,21099779
0,21094880
0,21100665
0,21100576
1,21090880
0,21095911
0,21102566
1,21093207
1,21093888
0,21091164
1,21089213
1,21095501
1,21106903
1,21102629
0,21090356
0,21096198
1,21104511
0,21097081
0,21099233
1,21087399
1,21087830
1,21103012
1,21093986
1,21107700
1,21104478
0,21099343
1,21108473
0,21101555
1,21092740
1,21106259
1,21107751
1,21094338
0,21098032
1,21088177
0,21099035
1,21104919
1,21093275
1,21105271
0,21100626
0,21098021
1,21108061
0,21100581
1,21094390
1,21092072
1,21104929
0,21100627
1,21106075
1,21106099
1,21102940
0,21100531
0,21101156
1,21093154
0,21094468
1,21090740
1,21089349
0,21099926
1,21105435
1,21025137
0,21096559
0,21102384
1,21106004
1,21103453
1,21093770
0,21097514
1,21103931
0,21094109
1,21088123
1,21094164
1,21105619
1,21108175
0,21099460
0,21094350
1,21104399
0,21096278
0,21100124
0,21094664
1,21093321
0,21101434
1,21088182
1,21106184
1,21104784
0,21091985
1,21103238
0,21090628
1,21088830
1,21107990
0,21101260
0,21102309
0,21097326
1,21103765
0,21097968
1,21103497
1,21108616
1,21091161
0,21101616
1,21094546
1,21087548
1,21088186
0,21099416
1,21107717
0,21095387
0,21096189
0,21098479
0,21099075
1,21087889
0,21100603
1,21106050
0,21095870
0,21099441
0,21099985
1,21089311
1,21108193
0,21100937
1,21088863
1,21088145
0,21092720
1,21093792
0,21096779
0,21098914
1,21089609
1,21093519
0,21096450
0,21097072
0,21099657
0,21098061
1,21106801
0,21093544
1,21103017
1,21104462
1,21105236
0,21100364
1,21103869
1,21093612
1,21088206
1,21107665
1,21088048
1,21108288
0,21095335
0,21097858
0,21093204
1,21088939
1,21107998
1,21089774
0,21096648
0,21101213
0,21101283
1,20962141
0,21096656
1,21089987
0,21096481
0,21099580
0,21100180
1,21087488
1,21102633
1,21093490
1,21105917
0,21098122
1,21091523
1,21095227
1,21105737
1,21105145
0,21102375
1,21107153
1,21106947
0,21090768
0,21095054
0,21098815
1,21102904
1,21092974
1,21105853
0,21099784
1,21107935
0,21100186
0,21101002
0,21096043
0,21097831
1,21094653
1,21106470
